,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Jun-1971,47114,43834,44145,42293,42644,42578,42236,44658,45533,47069,46596,45066,44712,43946,43043,41863,40256,40652,40787,40106,41296,41949,41451,43143,46136,39978,38593,37750,34608,34222,33532,31917,31371,30300,30027,30434,28375,27458,28187,28885,31552,29521,31508,31448,29448,31679,30221,30019,29810,29845,30068,25687,23934,23639,23984,23034,24190,23122,22425,21520,20931,18918,18615,17184,16499,16113,14641,13545,12488,11693,11200,10458,8572,7968,7351,6633,6206,5400,5333,4587,4208,3744,3325,2655,2294,1811,1589,1169,898,693,537,344,229,192,124,87,59,40,18,21,15
Jun-1972,48888,47125,43973,44101,42291,42684,42592,42387,45000,45740,47224,46859,45112,44838,43856,42882,41964,40548,40972,41474,40877,41738,42232,41677,43192,46055,39854,38417,37718,34593,34131,33537,32020,31319,30552,30115,30331,28124,27501,28151,28724,31418,29663,31258,31449,29697,31631,29840,29855,29680,29486,29615,25619,23606,23467,23746,22884,23652,22770,21949,21127,20495,18542,18077,16744,16016,15573,14096,13001,11880,11059,10684,9901,7999,7418,6763,6046,5639,4890,4767,4129,3759,3307,2859,2269,1921,1482,1267,925,702,532,411,245,156,132,87,60,39,28,9,23
Jun-1973,46020,48479,47196,43974,43917,42153,42564,42424,42353,45152,45726,47169,46972,45009,44800,43654,42637,41949,40871,41197,41755,41144,41662,41976,41395,42823,45788,39560,37996,37477,34359,33834,33286,31868,31074,30614,30046,30111,27773,27408,28010,28439,31166,29665,30893,31337,29810,31490,29347,29571,29469,29076,29085,25439,23226,23285,23476,22678,23070,22374,21441,20706,19968,18094,17454,16229,15522,15019,13490,12410,11278,10429,10071,9319,7425,6848,6183,5488,5032,4341,4235,3672,3298,2864,2406,1886,1585,1215,1020,738,551,403,312,177,107,88,52,42,20,18,20
Jun-1974,43703,45815,48451,47471,44116,43820,42079,42557,42386,42365,45330,45745,47134,47102,44906,44818,43546,42372,41995,41262,41293,41933,41390,41622,41755,41276,42706,45755,39531,37866,37427,34283,33694,33227,31873,30915,30788,30139,29978,27506,27471,27972,28165,30934,29705,30570,31177,29918,31404,28855,29293,29275,28683,28523,25299,22846,23121,23220,22471,22486,21961,20956,20285,19417,17652,16847,15739,14977,14458,12901,11844,10705,9793,9527,8799,6897,6335,5654,4973,4501,3878,3749,3239,2867,2492,2063,1596,1280,978,795,568,440,318,229,123,83,73,40,33,12,23
Jun-1975,42493,43971,45674,48349,47675,44152,43644,41974,42421,42205,42299,45400,45696,47137,47235,44821,44791,43301,42055,41900,41191,40674,41471,41120,41156,41338,41150,42590,45665,39375,37546,37242,34090,33459,33051,31686,30639,30858,30132,29782,27247,27513,27925,27858,30608,29627,30100,30939,29987,31222,28294,29004,29041,28215,27947,25121,22446,22873,22878,22198,21869,21560,20405,19824,18839,17122,16199,15193,14378,13828,12242,11277,10075,9110,8958,8232,6290,5781,5088,4413,3961,3425,3244,2790,2432,2080,1673,1282,1000,760,578,430,336,228,162,86,55,51,31,33,13
Jun-1976,39482,41974,44403,45575,48219,47739,44144,43439,41779,42223,41916,42090,45433,45580,47019,47296,44644,44726,43072,41739,41534,40848,39904,40881,40761,40728,40895,40934,42354,45473,39177,37077,36926,33744,33112,32725,31551,30319,30868,30022,29573,26917,27471,27749,27520,30270,29540,29616,30709,29976,30979,27746,28638,28758,27709,27304,24916,21992,22580,22489,21938,21224,21135,19831,19302,18247,16677,15606,14631,13781,13170,11585,10694,9438,8447,8349,7664,5746,5255,4566,3940,3476,3045,2841,2457,2045,1794,1393,1068,788,576,418,332,252,171,123,76,40,32,19,29
Jun-1977,39610,39566,42065,44319,45612,48294,47913,44283,43679,41917,42392,42128,42338,45364,45651,46955,47071,44809,44780,43618,42300,41829,41030,40164,41058,40764,41156,41091,41031,42381,45240,38927,37071,36700,33505,32959,32642,31315,30303,30525,29645,29252,26894,27253,27505,27385,30097,29151,29497,30403,29555,30363,27711,28245,28277,27405,26880,24393,21651,22007,21972,21546,20911,20630,19254,18709,17654,16091,15033,13954,13091,12466,10963,9978,8763,7824,7660,6948,5182,4668,4066,3487,3051,2608,2385,2045,1691,1452,1134,840,595,445,327,244,177,121,86,51,22,20,30
Jun-1978,39459,39788,39867,42277,44313,45742,48484,48196,44420,43965,42028,42469,42249,42521,45354,45758,46918,46880,45153,44832,44036,42668,42113,41284,40627,41371,41035,41770,41413,41312,42587,45135,38769,37153,36554,33476,32912,32632,31024,30279,30250,29362,28993,26833,27029,27279,27330,29877,28783,29418,30053,29144,29831,27747,27904,27806,27116,26500,23907,21305,21483,21486,21147,20556,20125,18708,18138,17088,15500,14446,13283,12424,11781,10351,9279,8136,7271,7003,6303,4697,4158,3628,3088,2674,2247,2029,1715,1395,1187,925,659,476,351,236,169,127,94,59,31,16,25
Jun-1979,39294,39540,40052,40291,42537,44445,45879,48596,48408,44613,44240,42196,42611,42429,42763,45407,45953,47018,46949,45662,45199,44552,43119,42541,41775,41233,41914,41389,42479,41707,41618,42843,45135,38622,37318,36515,33341,32851,32651,30883,30338,30015,29102,28784,26804,26859,27092,27275,29711,28409,29320,29750,28706,29246,27765,27564,27353,26751,26055,23399,20965,20930,21014,20718,20195,19619,18148,17583,16519,14871,13820,12647,11790,11085,9724,8567,7513,6693,6401,5621,4174,3671,3216,2701,2342,1926,1683,1391,1132,943,742,502,359,267,174,122,90,65,40,21,24
Jun-1980,40262,39436,39698,40295,40664,42745,44504,46006,48709,48609,44802,44547,42395,42791,42673,43072,45469,46204,47111,46972,46007,45215,44914,43638,43031,42250,41888,42553,41975,43335,42205,42010,43094,45198,38618,37523,36473,33277,32857,32684,30740,30421,29795,28827,28573,26778,26626,26887,27214,29520,28067,29247,29451,28289,28662,27788,27227,26897,26428,25665,22888,20623,20383,20503,20325,19888,19119,17560,17004,15919,14268,13257,11972,11115,10382,9120,7868,6929,6108,5775,5038,3723,3213,2810,2327,1986,1663,1403,1152,933,729,586,391,272,182,121,97,70,47,27,30
Jun-1981,41334,40344,39650,39938,40601,41099,42947,44535,46100,48798,48773,44949,44825,42569,42998,43000,43477,45637,46620,47451,47159,46503,45372,45461,44272,43696,42902,42781,43258,42547,44230,42704,42378,43365,45250,38598,37684,36364,33159,32887,32760,30675,30541,29572,28589,28413,26798,26419,26723,27161,29287,27690,29150,29140,27797,28016,27745,26802,26353,25991,25166,22286,20222,19743,19945,19796,19464,18551,16940,16340,15282,13646,12621,11253,10366,9638,8475,7162,6293,5515,5155,4432,3288,2768,2452,1954,1690,1413,1146,914,743,542,443,292,198,127,88,72,45,29,19
Jun-1982,42039,41459,40570,40003,40176,40757,41260,43190,44761,46416,48981,49051,45105,44838,42679,43016,43134,43741,45945,47078,47985,47800,46763,45830,45815,44568,44233,43021,43047,43477,42764,44425,43117,42563,43803,45663,39028,37565,36603,33494,32915,32857,30914,30441,29682,28867,28557,26647,26458,26698,27030,29055,27667,28888,28903,27683,27890,27275,26502,26061,25704,24802,21965,19800,19306,19451,19221,18849,17920,16369,15642,14663,13083,11868,10613,9714,8928,7802,6571,5737,4968,4639,3992,2879,2390,2096,1638,1413,1156,909,720,589,429,332,222,142,87,58,45,33,29
Jun-1983,42737,41882,41455,40630,40015,40223,40837,41285,43225,44713,46511,49124,49065,45161,44651,42733,42967,43161,43877,46211,47129,48034,47936,46495,45751,45677,44643,44349,42724,43038,43427,42579,44265,43202,42523,43895,45837,39301,37333,36723,33626,32778,32772,30988,30239,29685,29017,28597,26445,26434,26630,26817,28811,27629,28578,28624,27503,27791,26819,26206,25723,25356,24432,21586,19337,18867,18953,18649,18217,17262,15780,14926,13965,12470,11158,9929,9087,8240,7105,5972,5198,4473,4114,3527,2504,2020,1775,1360,1162,921,718,544,436,319,244,151,97,61,40,18,40
Jun-1984,41791,42627,41950,41541,40703,40014,40352,40835,41407,43258,44756,46622,49221,49103,45212,44604,42855,42947,43314,44164,46263,47014,48017,47938,46326,45742,45635,44654,44564,42365,42946,43291,42377,44084,43204,42345,43920,45979,39589,37087,36886,33765,32681,32623,31006,29983,29617,29139,28660,26206,26416,26530,26640,28565,27600,28300,28323,27321,27627,26289,25912,25388,24996,24046,21250,18859,18393,18489,18059,17586,16656,15210,14200,13216,11849,10386,9305,8452,7569,6440,5399,4709,4010,3626,3082,2142,1721,1466,1114,940,730,574,425,337,263,199,117,80,50,21,24
Jun-1985,42576,41773,42671,42044,41748,40913,40236,40513,40937,41567,43401,44883,46814,49439,49237,45427,44678,43136,43079,43579,44338,46479,47227,48268,48171,46444,46080,45859,44952,45034,42384,42998,43329,42291,44054,43365,42344,43986,46226,39945,36950,37132,33998,32668,32490,31080,29809,29521,29333,28722,26010,26385,26499,26442,28258,27524,28005,28004,27108,27527,25778,25614,25024,24581,23658,20844,18459,17942,17993,17483,16932,15973,14576,13399,12501,11223,9653,8629,7817,6913,5806,4867,4193,3514,3141,2631,1806,1434,1199,886,742,574,442,313,257,211,140,86,65,49,15
Jun-1986,42131,42633,42080,42843,42291,42074,41158,40525,40757,41098,41786,43590,45064,47152,49727,49402,45587,44842,43082,42941,43590,44228,46566,47272,48470,48426,46691,46467,46055,45274,45624,42577,43173,43565,42465,44027,43766,42369,44123,46572,40368,36817,37384,34182,32612,32387,31170,29643,29493,29471,28789,25728,26357,26473,26267,27954,27478,27720,27740,26970,27393,25273,25341,24717,24264,23313,20522,18029,17549,17468,16884,16278,15320,13997,12657,11812,10609,8966,8021,7209,6310,5260,4396,3707,3055,2734,2272,1482,1176,995,701,579,421,350,235,187,165,99,71,54,53
Jun-1987,42645,42514,42867,42457,43023,42527,42512,41513,41018,41115,41436,42100,43873,45337,47393,49905,49765,46207,45273,43709,43645,44309,44916,47292,47857,48947,49119,47382,46646,46439,45566,45941,43233,43657,43843,42883,44293,43850,42784,44170,46197,40519,37255,37403,33955,32734,32447,31137,29825,29509,29358,28558,25728,26275,26249,26171,27749,27258,27509,27475,26721,27074,25063,24992,24152,23733,22759,20105,17629,17002,16867,16271,15665,14652,13279,11907,11020,9873,8304,7378,6578,5718,4718,3925,3242,2661,2349,1908,1215,966,807,565,458,333,272,180,140,120,71,50,72
Jun-1988,43822,42965,43022,43321,42924,43399,42974,43026,41940,41455,41498,41948,42436,44192,45645,47683,50188,50246,46718,45547,44306,44428,44984,45502,47868,48480,49612,49970,48350,47075,47013,46061,46343,44011,44315,44246,43375,44746,43938,43156,44322,45942,40549,37631,37423,33753,32867,32489,31100,29964,29542,29291,28315,25768,26124,26013,26067,27484,27039,27315,27160,26460,26751,24794,24599,23575,23142,22158,19661,17203,16421,16230,15567,14945,13888,12476,11133,10216,9108,7592,6688,5965,5092,4167,3443,2805,2280,1959,1572,985,781,619,438,351,259,196,130,101,87,49,80
Jun-1989,44178,43787,43102,43261,43547,43111,43588,43173,43365,42159,41781,41703,42153,42534,44439,45915,47844,50507,50441,46985,45604,44628,44610,45204,45586,48185,48741,49838,50497,48837,47345,47341,46365,46605,44642,44554,44389,43582,44852,43872,43505,44421,45447,40469,37968,37426,33432,32914,32476,30943,30035,29460,29041,27995,25779,25962,25744,25856,27232,26733,27028,26845,26160,26360,24442,24116,22935,22493,21565,19123,16698,15838,15527,14860,14266,13114,11702,10377,9423,8311,6915,6028,5362,4526,3670,2994,2411,1959,1598,1294,798,616,487,341,267,196,149,98,75,61,91
Jun-1990,44942,44032,43574,43110,43441,43640,43256,43585,43279,43570,42233,42020,41838,42385,42643,44636,46184,48051,50583,50599,47147,45537,44694,44728,45336,45822,48604,49124,50027,51050,49412,47438,47690,46538,46729,45050,44723,44308,43565,44946,43774,43827,44335,44888,40383,38235,37212,33061,32854,32321,30826,30147,29339,28766,27652,25748,25773,25395,25623,26910,26381,26702,26423,25765,25882,23973,23561,22284,21814,20873,18582,16148,15156,14772,14080,13481,12300,10882,9572,8528,7475,6228,5347,4695,3922,3195,2541,2001,1638,1233,1004,606,477,357,247,194,131,96,65,48,95
Jun-1991,45341,44944,43950,43495,43227,43757,43867,43421,43615,43329,43763,42348,42236,41965,42606,42829,44913,46561,48157,50666,50782,47359,45540,44811,44907,45569,46131,48828,49374,50348,51683,49986,47473,47928,46654,46764,45406,44765,44136,43590,45025,43675,43942,44120,44167,40209,38426,36964,32722,32710,32109,30611,30110,29222,28478,27261,25689,25534,25052,25381,26512,26071,26418,26095,25356,25380,23531,23000,21601,21056,20168,18043,15626,14528,14080,13354,12765,11474,10070,8818,7773,6756,5626,4755,4112,3400,2764,2156,1692,1403,978,784,469,353,269,190,134,87,58,40,86
Jun-1992,45682,45436,45122,44099,43729,43422,43935,43996,43719,43907,43619,43785,42549,42330,42044,42687,42958,45144,46405,48053,50567,50816,47250,45573,44882,44806,45480,46245,49152,49722,50630,51694,50064,47721,48027,46924,46783,45540,45008,44342,43583,44884,43645,43630,44114,44406,39831,38201,36817,32728,32555,31776,30410,29727,28902,28293,26988,25450,25326,24863,25152,26244,25672,25893,25526,24782,24690,22913,22352,21016,20409,19464,17340,14864,13812,13349,12556,11906,10643,9289,8081,7095,6132,4988,4168,3577,2944,2353,1793,1403,1127,781,622,355,275,217,142,91,44,67,61
Jun-1993,45507,45343,45320,45094,44051,43706,43319,43878,43944,43727,43929,43685,43678,42581,42305,42041,42590,43100,44932,46069,47842,50277,50545,46878,45484,44638,44518,45354,46266,49061,49714,50581,51378,49811,47655,47856,46786,46522,45380,45074,44324,43275,44518,43491,43208,44014,44510,39319,37833,36583,32621,32303,31365,30175,29311,28560,28074,26689,25149,25081,24646,24903,25989,25230,25372,24914,24161,24004,22250,21679,20401,19743,18721,16628,14080,13118,12597,11780,11024,9820,8577,7452,6409,5533,4400,3643,3060,2505,1963,1496,1162,905,621,488,270,215,173,103,59,51,47
Jun-1994,44949,45323,45096,45323,45243,44019,43696,43335,43974,43985,43771,44047,43808,43679,42744,42401,42095,42679,43074,44834,46038,47761,50062,50515,46792,45574,44728,44634,45563,46372,49290,49962,50640,51244,49759,47823,47854,46888,46473,45295,45210,44462,43033,44241,43492,42910,43972,44610,38826,37624,36421,32598,32010,31023,29992,28946,28272,27877,26339,24860,24842,24467,24666,25667,24816,24846,24333,23574,23255,21573,20977,19771,19125,17992,15871,13276,12393,11812,10960,10131,9014,7835,6758,5760,4925,3849,3169,2618,2114,1605,1234,947,701,482,386,202,170,132,73,55,50
Jun-1995,44663,44960,45228,45024,45490,45412,44078,43827,43481,44096,44027,43905,44236,43999,43757,42924,42522,42275,42551,43242,45061,46087,47788,50029,50641,46791,45896,45106,45014,45945,46800,49677,50384,50908,51270,49841,48174,48047,47148,46490,45402,45500,44678,42909,44024,43544,42603,43968,44730,38392,37432,36273,32555,31783,30746,29876,28625,28007,27667,26055,24595,24649,24269,24397,25359,24390,24311,23783,22960,22495,20805,20266,19138,18447,17234,15139,12475,11642,11027,10105,9220,8226,7119,6088,5088,4307,3327,2724,2169,1719,1280,1001,748,526,372,304,160,126,103,70,64
